"","source","year","price_group_ordered","total_mitigation_by_price_group","cumulative_reduction"
"84","CROP",2050,"at or below zero",377.388032647548,377.388032647548
"85","CROP",2050,"above zero",125.26480746614,502.652840113688
"86","CROP",2055,"at or below zero",380.208838743985,380.208838743985
"87","CROP",2055,"above zero",123.079300951061,503.288139695046
"88","CROP",2060,"at or below zero",380.924946511879,380.924946511879
"89","CROP",2060,"above zero",118.279997160378,499.204943672257
"90","CROP",2065,"at or below zero",381.210579788006,381.210579788006
"91","CROP",2065,"above zero",114.723620013399,495.934199801405
"92","CROP",2070,"at or below zero",396.739450280149,396.739450280149
"93","CROP",2070,"above zero",96.7525104642364,493.491960744385
"94","CROP",2075,"at or below zero",396.754291478187,396.754291478187
"95","CROP",2075,"above zero",94.7379907329031,491.49228221109
"96","CROP",2080,"at or below zero",401.071990659634,401.071990659634
"97","CROP",2080,"above zero",89.021977043973,490.093967703607
"98","EPS",2020,"at or below zero",45.7428274967523,45.7428274967523
"99","EPS",2020,"above zero",143.60296484267,189.345792339422
"100","EPS",2025,"at or below zero",28.6216332565044,28.6216332565044
"101","EPS",2025,"above zero",75.0601235046369,103.681756761141
"102","EPS",2030,"at or below zero",36.3901370529115,36.3901370529115
"103","EPS",2030,"above zero",80.0160486465386,116.40618569945
"104","EPS",2035,"at or below zero",46.7642675376017,46.7642675376017
"105","EPS",2035,"above zero",86.7476723838554,133.511939921457
"106","EPS",2040,"at or below zero",54.588742481477,54.588742481477
"107","EPS",2040,"above zero",99.5723916961716,154.161134177649
"108","EPS",2045,"at or below zero",56.3137804809266,56.3137804809266
"109","EPS",2045,"above zero",121.069975436308,177.383755917235
"110","EPS",2050,"at or below zero",55.8304530902987,55.8304530902987
"111","EPS",2050,"above zero",144.786365139859,200.616818230158
"112","EPS",2055,"at or below zero",47.7458905428457,47.7458905428457
"113","EPS",2055,"above zero",155.985115214357,203.731005757203
"114","EPS",2060,"at or below zero",41.2613878826311,41.2613878826311
"115","EPS",2060,"above zero",164.932004491384,206.193392374015
"116","EPS",2065,"at or below zero",35.6162096766371,35.6162096766371
"117","EPS",2065,"above zero",172.561975404315,208.178185080952
"118","EPS",2070,"at or below zero",30.7265686447438,30.7265686447438
"119","EPS",2070,"above zero",178.76153996636,209.488108611104
"120","EPS",2075,"at or below zero",23.9357095767501,23.9357095767501
"121","EPS",2075,"above zero",186.262784257527,210.198493834277
"122","EPS",2080,"at or below zero",88.3166941745479,88.3166941745479
"123","EPS",2080,"above zero",122.218995745201,210.535689919749
"124","FIRE",2030,"above zero",0.190495049293662,0.190495049293662
"125","FIRE",2035,"at or below zero",0.0742066797836752,0.0742066797836752
"126","FIRE",2035,"above zero",0.624740555755093,0.698947235538768
"127","FIRE",2040,"at or below zero",0.3927991606794,0.3927991606794
"128","FIRE",2040,"above zero",1.56228137713092,1.95508053781032
"129","FIRE",2045,"at or below zero",1.6018273835903,1.6018273835903
